jurisdiction,distribution,initiate_1st,distribution_rate,initiate_1st_rate,distribution_LTCF,initiation_1st_LTCF
Alabama,172000,40278,3508,821,,
Alaska,76200,19050,10416,2604,,
Arizona,419175,68707,5759,944,,
Arkansas,152175,40899,5043,1355,,
California,2039100,456980,5161,1157,,
Colorado,281900,114555,4895,1989,,
Connecticut,149900,81970,4204,2299,,
Delaware,53650,13962,5510,1434,,
District of Columbia,35475,15853,5027,2246,,
Florida,1152000,264512,5364,1232,,
Georgia,493625,80459,4649,758,,
Hawaii,82500,20893,5827,1476,,
Idaho,81525,19575,4562,1095,,
Illinois,538300,176586,4248,1394,,
Indiana,355825,100487,5285,1493,,
Iowa,120175,60137,3809,1906,,
Kansas,131750,20158,4522,692,,
Kentucky,174150,61408,3898,1374,,
Louisiana,230125,49693,4950,1069,,
Maine,70150,32150,5219,2392,,
Maryland,291750,77274,4826,1278,,
Massachusetts,328900,114465,4772,1661,,
Michigan,478800,99040,4794,992,,
Minnesota,271375,86329,4812,1531,,
Mississippi,97450,22174,3274,745,,
Missouri,286075,98589,4661,1606,,
Montana,52450,23526,4907,2201,,
Nebraska,90875,36753,4698,1900,,
Nevada,142525,34549,4627,1122,,
New Hampshire,53675,30035,3948,2209,,
New Jersey,390900,120947,4401,1362,,
New Mexico,106425,42380,5076,2021,,
New York,934925,299428,4806,1539,,
North Carolina,498450,121881,4753,1162,,
North Dakota,40825,22358,5357,2934,,
Ohio,359800,163130,3078,1396,,
Oklahoma,218175,63090,5514,1594,,
Oregon,226700,51283,5375,1216,,
Pennsylvania,625400,164552,4885,1285,,
Rhode Island,55600,23151,5248,2185,,
South Carolina,146250,61797,2841,1200,,
South Dakota,44300,28581,5008,3231,,
Tennessee,328500,154184,4810,2258,,
Texas,1371125,451210,4729,1556,,
Utah,157925,49456,4926,1543,,
Vermont,33925,15955,5437,2557,,
Virginia,481550,126363,5642,1480,,
Washington,395500,96845,5194,1272,,
West Virginia,126275,56664,7046,3162,,
Wisconsin,266675,67398,4580,1158,,
Wyoming,30650,7654,5296,1322,,
Guam,19300,3791,11643,2287,,
American Samoa,8250,1022,14814,1835,,
Republic of Palau,2800,120,15636,670,,
Federated States of Micronesia,9800,30,9456,29,,
Northern Mariana Islands,14050,3083,24700,5420,,
Puerto Rico,172600,45368,5404,1421,,
Marshall Islands,1200,0,2054,0,,
Virgin Islands,6600,231,6305,221,,
Bureau of Prisons,12800,8700,0,0,,
Dept of Defense,270125,67766,0,0,,
Indian Health Svc,175300,38053,0,0,,
Veterans Health,584300,118952,0,0,,
Total,17020575,4836469,,,3260775,429066
