jurisdiction,distribution,initiate_1st,distribution_rate,initiate_1st_rate,distribution_LTCF,initiation_1st_LTCF
Alabama,435350,92300,8879,1882,,
Alaska,150450,42596,20566,5823,,
Arizona,570625,173665,7840,2386,,
Arkansas,297800,108316,9868,3589,,
California,3540175,975293,8960,2468,,
Colorado,531775,254706,9234,4423,,
Connecticut,328675,171897,9219,4821,,
Delaware,91250,31090,9371,3193,,
District of Columbia,68325,33049,9681,4683,,
Florida,1970875,774485,9176,3606,,
Georgia,1010900,231305,9521,2179,,
Hawaii,154150,36605,10887,2585,,
Idaho,160075,42586,8957,2383,,
Illinois,958125,403666,7561,3186,,
Indiana,630025,233488,9358,3468,,
Iowa,268025,112093,8495,3553,,
Kansas,263175,91565,9034,3143,,
Kentucky,332375,155613,7440,3483,,
Louisiana,370175,175811,7963,3782,,
Maine,136875,61129,10183,4548,,
Maryland,564625,178056,9339,2945,,
Massachusetts,669225,233476,9709,3387,,
Michigan,772150,291519,7732,2919,,
Minnesota,516800,179684,9164,3186,,
Mississippi,219800,71848,7385,2414,,
Missouri,528300,175314,8608,2856,,
Montana,98500,46620,9216,4362,,
Nebraska,199800,84920,10329,4390,,
Nevada,210075,76844,6820,2495,,
New Hampshire,127225,58711,9357,4318,,
New Jersey,654900,262982,7373,2961,,
New Mexico,204750,89415,9765,4264,,
New York,1872625,688576,9626,3540,,
North Carolina,969700,268212,9246,2557,,
North Dakota,68675,42774,9012,5613,,
Ohio,967450,348424,8277,2981,,
Oklahoma,399900,187266,10106,4733,,
Oregon,335075,129796,7944,3077,,
Pennsylvania,1065300,410414,8321,3206,,
Rhode Island,84125,44871,7941,4236,,
South Carolina,346150,115855,6723,2250,,
South Dakota,88375,54284,9990,6136,,
Tennessee,656550,264713,9614,3876,,
Texas,2105600,1043624,7262,3599,,
Utah,267975,115384,8359,3599,,
Vermont,69800,29571,11186,4739,,
Virginia,852725,217836,9990,2552,,
Washington,655575,225238,8609,2958,,
West Virginia,160975,118660,8982,6621,,
Wisconsin,437900,149955,7521,2575,,
Wyoming,58775,19776,10155,3417,,
Guam,34300,3791,20692,2287,,
American Samoa,10650,2971,19124,5335,,
Republic of Palau,6000,766,33506,4278,,
Federated States of Micronesia,9800,605,9456,584,,
Northern Mariana Islands,18650,4598,32787,8083,,
Puerto Rico,305475,94880,9565,2971,,
Marshall Islands,13600,649,23282,1111,,
Virgin Islands,10750,1424,10269,1360,,
Bureau of Prisons,16450,16118,0,0,,
Dept of Defense,464775,179724,0,0,,
Indian Health Svc,291800,81726,0,0,,
Veterans Health,941925,284697,0,0,,
Total,30628175,11148991,,,4715600,1225493
